IO NO ,UNIT ,STYLE PIC,STYLE ,STYLE DESC,FABRIC ,SHIPMENT DATE,PO NO,COUNTRY,Combo,*0/3,*3/6,*6/9,*12,*24,*2,*3,*4,*5,*18,*6,*6X/7,*6X/7.1,Total,GRANT TOTAL,REMARKS
IO NO ,UNIT ,STYLE PIC,STYLE ,STYLE DESC,FABRIC ,SHIPMENT DATE,PO NO,COUNTRY,Combo,*0/3,*3/6,*6/9,*12,*24,*2,*3,*4,*5,*18,*6,*6X/7,*6X/7,Total,GRANT TOTAL,REMARKS
182,,,N6RI26KCM20,GMT DYE JACQ JERSEY SS T-SHIRT,JACQUARD JERSEY/100% COTTON/180 GSM,2025-08-25 00:00:00,MA01-2025-02031,NETHERLANDS (CLL),ARCTIC SKY-G7N1,,18,20,25,20,40,60,63,60,30,60,56,,452,1416,
182,,,N6RI26KCM20,GMT DYE JACQ JERSEY SS T-SHIRT,JACQUARD JERSEY/100% COTTON/180 GSM,2025-08-25 00:00:00,SP01-2025-00724,SINGAPORE,ARCTIC SKY-G7N1,,,,,,2,3,17,13,,9,4,,48,,
,,,,,,,,SUB TOTAL,,,18,20,25,20,42,63,80,73,30,69,60,,500,,
182,,,N6RI26KCM20,GMT DYE JACQ JERSEY SS T-SHIRT,JACQUARD JERSEY/100% COTTON/180 GSM,2025-08-25 00:00:00,MA01-2025-02031,NETHERLANDS (CLL),PURE WHITE-G011/11-4001 TCX,,30,30,39,27,65,86,86,83,40,86,78,,650,,
292,,,N6RI26KCM20,GMT DYE JACQ JERSEY SS T-SHIRT,JACQUARD JERSEY/100% COTTON/180 GSM,2025-09-08 00:00:00,MA01-2025-02747,NETHERLANDS (CLL),PURE WHITE-G011/11-4001 TCX,,17,23,17,20,13,34,35,34,20,28,25,,266,,
,,,,,,,,SUB TOTAL,,,47,53,56,47,78,120,121,117,60,114,103,,916,,
IO NO ,UNIT ,STYLE PIC,STYLE ,STYLE DESC,FABRIC ,SHIPMENT DATE,PO NO,COUNTRY,Combo,*0/3,*3/6,*6/9,*12,*24,*2,*3,*4,*5,*18,*6,*6X/7,*6X/7,Total,GRANT TOTAL,REMARKS
219,,,H4BT01I3Z14,SS T SHIRT,SINGLE JERSEY/50% ORGANIC COTTON 50% COTTON/180 GSM,2025-09-07 00:00:00,MA01-2025-02675,NETHERLANDS (CLL),COTTON CANDY PINK-G65U/13-2802 TCX,,23,36,52,65,33,100,92,77,70,70,41,,659,3082,
219,,,H4BT01I3Z14,SS T SHIRT,SINGLE JERSEY/50% ORGANIC COTTON 50% COTTON/180 GSM,2025-09-07 00:00:00,MA01-2025-02675,NETHERLANDS (CLL),JET BLACK A996-JBLK,,,1,8,1,42,41,46,46,10,45,36,,276,,
219,,,H4BT01I3Z14,SS T SHIRT,SINGLE JERSEY/50% ORGANIC COTTON 50% COTTON/180 GSM,2025-09-07 00:00:00,MA01-2025-02675,NETHERLANDS (CLL),PURE WHITE-G011/11-4001 TCX,,67,94,123,124,81,202,187,165,144,148,112,,1447,,
219,,,H4BT01I3Z14,SS T SHIRT,SINGLE JERSEY/50% ORGANIC COTTON 50% COTTON/180 GSM,2025-09-07 00:00:00,MA01-2025-02675,NETHERLANDS (CLL),SMART BLUE-G7V2/19-3924 TCX,,31,40,58,68,29,102,93,80,71,72,56,,700,,
,,,,,,,,SUB TOTAL,,,121,171,241,258,185,445,418,368,295,335,245,,3082,,
IO NO ,UNIT ,STYLE PIC,STYLE ,STYLE DESC,FABRIC ,SHIPMENT DATE,PO NO,COUNTRY,Combo,*0/3,*3/6,*6/9,*12,*24,*2,*3,*4,*5,*18,*6,*6X/7,*6X/7,Total,GRANT TOTAL,REMARKS
278,,,K6RK11KAD74,FRENCH TERRY SS DRESS,FRENCH TERRY/50% ORGANIC COTTON 50% COTTON/340 GSM,2025-09-07 00:00:00,MA01-2025-02675,NETHERLANDS (CLL),PURE WHITE-G011/11-4001 TCX,,,,,,52,79,93,97,,99,,74,494,1619,
278,,,K6RK11KAD74,FRENCH TERRY SS DRESS,FRENCH TERRY/50% ORGANIC COTTON 50% COTTON/340 GSM,2025-09-07 00:00:00,MA03-2025-02321,POLAND,PURE WHITE-G011/11-4001 TCX,,,,,,54,67,61,54,,24,,,260,,
278,,,K6RK11KAD74,FRENCH TERRY SS DRESS,FRENCH TERRY/50% ORGANIC COTTON 50% COTTON/340 GSM,2025-09-07 00:00:00,MA03-2025-02323,ITALY,PURE WHITE-G011/11-4001 TCX,,,,,,29,36,33,29,,13,,,140,,
,,,,,,,,SUB TOTAL,,,,,,,135,182,187,180,,136,,74,894,,
278,,,K6RK11KAD74,FRENCH TERRY SS DRESS,FRENCH TERRY/50% ORGANIC COTTON 50% COTTON/340 GSM,2025-09-07 00:00:00,MA01-2025-02675,NETHERLANDS (CLL),SECRET BLUE-G7HR/19-4111 TCX,,,,,,116,136,138,123,,117,95,,725,,
,,,,,,,,SUB TOTAL,,,,,,,116,136,138,123,,117,95,,725,,
IO NO ,UNIT ,STYLE PIC,STYLE ,STYLE DESC,FABRIC ,SHIPMENT DATE,PO NO,COUNTRY,Combo,*0/3,*3/6,*6/9,*12,*24,*2,*3,*4,*5,*18,*6,*6X/7,*6X/7,Total,GRANT TOTAL,REMARKS
280,,,K6RQ03KAD74,LS ACTIVE TOP,FRENCH TERRY/50% ORGANIC COTTON 50% COTTON/340 GSM,2025-09-07 00:00:00,MA01-2025-02675,NETHERLANDS (CLL),BLUSHED BRIDE-G62O/12-1310 TCX,,29,34,39,33,68,94,103,106,46,105,76,,733,2055,
,,,,,,,,SUB TOTAL,,,29,34,39,33,68,94,103,106,46,105,76,,733,,
280,,,K6RQ03KAD74,LS ACTIVE TOP,FRENCH TERRY/50% ORGANIC COTTON 50% COTTON/340 GSM,2025-09-07 00:00:00,MA01-2025-02675,NETHERLANDS (CLL),PURE WHITE-G011/11-4001 TCX,,5,7,10,13,65,93,100,87,16,93,33,,522,,
280,,,K6RQ03KAD74,LS ACTIVE TOP,FRENCH TERRY/50% ORGANIC COTTON 50% COTTON/340 GSM,2025-09-07 00:00:00,MA02-2025-01768,NETHERLANDS(RTL),PURE WHITE-G011/11-4001 TCX,,,,,,37,36,36,21,,20,,,150,,
280,,,K6RQ03KAD74,LS ACTIVE TOP,FRENCH TERRY/50% ORGANIC COTTON 50% COTTON/340 GSM,2025-09-07 00:00:00,MA03-2025-02321,POLAND,PURE WHITE-G011/11-4001 TCX,,,,,,104,114,98,68,,39,,,423,,
